sample_id,shop_id,item_id,item_category_id,date_block_num,text_file
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,13,9011,65,24,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,46,2547,31,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,11,126,73,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,37,2543,23,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,21,3571,30,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,25,9590,40,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,19,4345,40,27,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,19,2228,30,29,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,29,1683,30,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,22,1290,55,29,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,48,11719,71,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,22,2349,55,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,10,2624,55,29,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,48,2527,19,29,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,4,8308,30,28,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,11,8811,40,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,19,3826,22,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,28,7392,19,28,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,32,1903,23,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,33,2969,2,25,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,46,2826,76,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,25,8980,64,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,13,1077,30,27,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,25,10599,40,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,13,8984,64,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,19,8474,63,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,44,4165,6,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,25,1074,55,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,2,6151,6,18,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,10,2608,19,29,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,19,8583,63,30,train_text.parquet
e9fa2400-5c85-478e-aed2-1cc52ebae2a2,21,8607,70,30,train_text.parquet
ac6e7a64-0ee4-471f-9c9a-6c214fbb2dc5,0,2542,19,27,train_text.parquet
ac6e7a64-0ee4-471f-9c9a-6c214fbb2dc5,41,2130,75,30,train_text.parquet
ac6e7a64-0ee4-471f-9c9a-6c214fbb2dc5,35,9011,65,30,train_text.parquet
ac6e7a64-0ee4-471f-9c9a-6c214fbb2dc5,25,8324,62,28,train_text.parquet
ac6e7a64-0ee4-471f-9c9a-6c214fbb2dc5,14,4165,6,30,train_text.parquet
